"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW,BW)",,,,,,GV-Vorjahr,"196.625,88 €",,,K,BW,AN,RW,JM,,,,,,,,,,
GV,RW,Entnahme 2018-01,"8.000,00 €",2018-01,,bei Jochen,2.1.2018,"309.748,04 €",,,,,,,,,,,,,,,,
ER,K,"BB, Jutta","15.284,06 €",2017-12,12.12.2017,bei Jochen,2.1.2018,"294.463,98 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete Büro","824,78 €",2018-01,2.1.2018,bei Jochen,3.1.2018,"293.639,20 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Johannes 2017-12-22-10088  ","4.652,90 €",2017-12,22.12.2017,bei Jochen,3.1.2018,"298.292,10 €",,"782,00 €","0,00 €","0,00 €","0,00 €","2.932,50 €","0,00 €","0,00 €","0,00 €","195,50 €",,,,"3.910,00 €",,
AR,K,wlw 2017-12-20-10081,"5.462,10 €",2017-12,20.12.2017,bei Jochen,3.1.2018,"303.754,20 €",,"1.377,00 €","3.213,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","4.590,00 €",,,,,
ER,K,Rechnung Diana für Workshop,"4.926,85 €",2017-12,3.1.2018,bei Jochen,4.1.2018,"298.827,35 €",,,,,,,,,,,,,,,,
ER,K,"Car2Go 2017-10 (manuell überwiesen, Mahnung)","142,14 €",2018-01,4.1.2018,bei Jochen,4.1.2018,"298.685,21 €",,,,,,,,,,,,,,,,
ER,K,Miete mindspace,"3.498,60 €",2018-01,2.1.2018,bei Jochen,4.1.2018,"295.186,61 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Elena 2017-12-21-10083","17.136,00 €",2017-12,21.12.2017,bei Jochen,4.1.2018,"312.322,61 €",,"13.248,00 €","0,00 €","0,00 €","0,00 €","576,00 €","0,00 €","0,00 €","0,00 €","576,00 €",,,,,"11.520,00 €",
AR,JM,Cewe 2017-12-07-10071,"24.678,57 €",2017-12,7.12.2017,bei Jochen,4.1.2018,"337.001,18 €",,"4.988,29 €","0,00 €","6.300,00 €","0,00 €","8.465,63 €","0,00 €","0,00 €","0,00 €","984,38 €",,"9.000,00 €",,"10.687,50 €",,
ER,AN,"Vcomtec, Wolkesicher","4,99 €",2018-01,5.1.2018,bei Jochen,5.1.2018,"336.996,19 €",,,,,,,,,,,,,,,,
AR,K,"Überweisungs-Gutschrift (zweiter Teil)
XING SE
Auszahlung 2018-01-15846542
27 Leading Agile Adoptions
with the Agile Fluency Ga","4.615,00 €",2018-01,,bei Jochen,5.1.2018,"341.611,19 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2018-01,4.1.2018,bei Jochen,8.1.2018,"341.591,19 €",,,,,,,,,,,,,,,,
ER,JM,Catering Zukunftswerkstatt AOK,"999,60 €",2018-01,8.1.2018,bei Jochen,8.1.2018,"340.591,59 €",,,,,,,,,,,,,,,,
AR,K,Thinkpad Verkauf Ralf,"1.200,00 €",2018-01,,bei Jochen,8.1.2018,"341.791,59 €",,,,,,,,,,,,,,,,
ER,RW,Belegabrechnung 2018-01 RW,"2.819,00 €",2018-01,8.1.2018,bei Jochen,8.1.2018,"338.972,59 €",,,,,,,,,,,,,,,,
AR,JM,"Jungheinrich, Hannes + Ben 2017-12-08-10073","833,00 €",2017-11,8.12.2017,bei Jochen,9.1.2018,"339.805,59 €",,"140,00 €","280,00 €","0,00 €","210,00 €","35,00 €","0,00 €","0,00 €","0,00 €","35,00 €","400,00 €",,"300,00 €",,,
ER,RW,Drillisch,"16,99 €",2018-01,,bei Jochen,10.1.2018,"339.788,60 €",,,,,,,,,,,,,,,,
AR,JM,Jungheinrich 2017-11-07-10055,"10.591,00 €",2017-10,7.11.2017,bei Jochen,11.1.2018,"350.379,60 €",,"1.780,00 €","2.800,00 €","0,00 €","0,00 €","3.875,00 €","0,00 €","0,00 €","0,00 €","445,00 €","4.000,00 €",,,"4.900,00 €",,
AR,JM,AOK Ben Nov 2017-12-23-10091,"13.582,98 €",2017-11,23.12.2017,bei Jochen,12.1.2018,"363.962,58 €",,"2.664,27 €","7.656,25 €","0,00 €","0,00 €","546,88 €","0,00 €","0,00 €","0,00 €","546,88 €","10.937,50 €",,,,,
AR,JM,Prosoz 2017-12-21-10087,"4.760,00 €",2017-12,21.12.2017,bei Jochen,12.1.2018,"368.722,58 €",,"800,00 €","0,00 €","0,00 €","0,00 €","3.000,00 €","0,00 €","0,00 €","0,00 €","200,00 €",,,,"4.000,00 €",,
AR,JM,AOK Johannes Dez 2018-01-02-10093,"6.045,87 €",2017-12,2.1.2017,bei Jochen,12.1.2018,"374.768,45 €",,"1.380,56 €","0,00 €","0,00 €","0,00 €","3.468,75 €","0,00 €","0,00 €","0,00 €","231,25 €",,,,"4.625,00 €",,
AR,JM,AOK Ben Dez 2017-12-23-10092,"17.788,30 €",2017-12,23.12.2017,bei Jochen,12.1.2018,"392.556,75 €",,"3.423,14 €","10.084,38 €","0,00 €","0,00 €","720,31 €","0,00 €","0,00 €","0,00 €","720,31 €","14.406,26 €",,,,,
ER,JM,Reisekostenabrechnung- JM-20171221-Belege 15.01.18,"641,38 €",2017-12,15.1.2018,bei Jochen,15.1.2018,"391.915,37 €",,,,,,,,,,,,,,,,
LNSteuer,BW,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 LOHN
ST DEZ.17 1.511,45EUR UMS.S
T NOV.17 10.843,11EUR","1.511,45 €",2017-12,,bei Jochen,15.1.2018,"390.403,92 €",,,,,,,,,,,,,,,,
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.S
T NOV.17 10.843,11EUR","10.843,11 €",2017-12,,bei Jochen,15.1.2018,"379.560,81 €",,,,,,,,,,,,,,,,
AR,K,"JOH.BERENBERG,GOSSLER+CO.KG
RG.NR. 2017-12-01-10060 KD
10006","13.328,00 €",2017-12,15.1.2018,bei Jochen,15.1.2018,"392.888,81 €","doppelt überwiesen, wurde schon am 14.12. 2017 überwiesen",,,,,,,,,,,,,,,
ER,RW,"ET-FFM-2018-ID3002-ET-FFM-2
018-0007
9, Frankfurt Entwicklertag","107,10 €",2018-01,,bei Jochen,16.1.2018,"392.781,71 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"103,21 €",2018-01,8.1.2018,bei Jochen,17.1.2018,"392.678,50 €",,,,,,,,,,,,,,,,
ER,K,"Car2Go 2017-10 (manuell überwiesen, Mahnung)","106,52 €",2018-01,,bei Jochen,17.1.2018,"392.571,98 €",,,,,,,,,,,,,,,,
AR,JM,"Jungheinrich, Christine 2017-12-15-10076","26.581,20 €",2017-11,15.12.2017,bei Jochen,18.1.2018,"419.153,18 €",,"20.653,43 €","0,00 €","0,00 €","0,00 €","841,86 €","0,00 €","0,00 €","0,00 €","841,86 €",,,,,"16.837,14 €",
ER,BW,Telekom,"51,92 €",2018-01,15.1.2018,bei Jochen,22.1.2018,"419.101,26 €",,,,,,,,,,,,,,,,
AR,JM,"Jungheinrich, Ralf 2017-12-20-10079","12.792,50 €",2017-11,20.12.2017,bei Jochen,22.1.2018,"431.893,76 €",,"2.150,00 €","0,00 €","0,00 €","7.525,00 €","537,50 €","0,00 €","0,00 €","0,00 €","537,50 €",,,"10.750,00 €",,,
ER,JM,congstar,"154,36 €",2018-01,,bei Jochen,23.1.2018,"431.739,40 €",,,,,,,,,,,,,,,,
AR,JM,"Jungheinrich, JM+BW Sept 2017-12-21-10085","1.428,00 €",2017-12,21.12.2017,bei Jochen,23.1.2018,"433.167,40 €",,"240,00 €","420,00 €","0,00 €","0,00 €","480,00 €","0,00 €","0,00 €","0,00 €","60,00 €","600,00 €",,,"600,00 €",,
ER,BW,Gehalt Ben 2018-01,"3.893,86 €",2018-01,19.1.2018,bei Jochen,23.1.2018,"429.273,54 €",,,,,,,,,,,,,,,,
AR,JM,"Jungheinrich, Christine 2017-12-21-10084","5.712,00 €",2017-12,21.12.2017,bei Jochen,23.1.2018,"434.985,54 €",,"4.440,00 €","0,00 €","0,00 €","0,00 €","180,00 €","0,00 €","0,00 €","0,00 €","180,00 €",,,,,"3.600,00 €",
AR,RW,"Jungheinrich, Ralf  2017-12-21-10086","15.827,00 €",2017-12,21.12.2017,bei Jochen,23.1.2018,"450.812,54 €",,"2.660,00 €","0,00 €","0,00 €","9.975,00 €","0,00 €","0,00 €","0,00 €","665,00 €","0,00 €",,,"13.300,00 €",,,
ER,RW,Hetzner,"8,21 €",2018-01,,bei Jochen,24.1.2018,"450.804,33 €",,,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50416391707","16,99 €",2018-01,,bei Jochen,24.1.2018,"450.787,34 €",,,,,,,,,,,,,,,,
ER,JM,Rechnung02180125_Kommitment_Transkription,"155,20 €",2018-01,25.1.2018,bei Jochen,25.1.2018,"450.632,14 €",,,,,,,,,,,,,,,,
GV,RW,Gewinn 2017 Vorabentnahme,"35.000,00 €",2018-01,25.1.2018,bei Jochen,25.1.2018,"415.632,14 €",,,,,,,,,,,,,,,,
ER,AN,Wolkesicher,"4,99 €",2018-01,16.1.2018,bei Jochen,26.1.2018,"415.627,15 €",,,,,,,,,,,,,,,,
ER,K,easybill,"119,00 €",2018-01,24.1.2018,bei Jochen,26.1.2018,"415.508,15 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,KKH,"1.389,09 €",2018-01,,bei Jochen,29.1.2018,"414.119,06 €",,,,,,,,,,,,,,,,
ER,K,Kontoführung,"19,49 €",2018-01,,bei Jochen,31.1.2018,"414.099,57 €",,,,,,,,,,,,,,,,
ER,RW,Belegabrechnung RW 1-2018,"485,54 €",2018-01,31.1.2018,bei Jochen,31.1.2018,"413.614,03 €",,,,,,,,,,,,,,,,
ER,K,AOK-RK-JM-201801,"97,90 €",2018-01,31.1.2018,bei Jochen,1.2.2018,"413.516,13 €",,,,,,,,,,,,,,,,
ER,K,AOK-RK-JM-20180122,"123,50 €",2018-01,31.1.2018,bei Jochen,1.2.2018,"413.392,63 €",,,,,,,,,,,,,,,,
ER,AN,Belegabrechnung 2018-01,"227,75 €",2018-01,1.2.2018,bei Jochen,1.2.2018,"413.164,88 €",,,,,,,,,,,,,,,,
ER,K,Erstattung Reisekosten AOK/Ben 29.1.-1.2.2018,"454,10 €",2018-01,1.2.2018,bei Jochen,1.2.2018,"412.710,78 €",,,,,,,,,,,,,,,,
ER,K,Erstattung Reisekosten AOK/Ben 14-19.01. 2018 und 22-25.02.2018,"892,60 €",2018-01,1.2.2018,bei Jochen,1.2.2018,"411.818,18 €",,,,,,,,,,,,,,,,
GV,JM,Entnahme 2018-02,"6.000,00 €",2018-02,,bei Jochen,1.2.2018,"405.818,18 €",,,,,,,,,,,,,,,,
GV,AN,Entnahme 2018-02,"6.000,00 €",2018-02,,bei Jochen,1.2.2018,"399.818,18 €",,,,,,,,,,,,,,,,
GV,RW,Entnahme 2018-02,"8.000,00 €",2018-02,,bei Jochen,1.2.2018,"391.818,18 €",,,,,,,,,,,,,,,,
GWSteuer,K,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 GEW.
ST 2016 39.170,20EUR GEW.ST
2017 74.027,40EUR","113.197,60 €",2018-02,,bei Jochen,1.2.2018,"278.620,58 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete Büro","824,78 €",2018-02,7.2.2018,bei Jochen,5.2.2018,"277.795,80 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2018-02,7.2.2018,bei Jochen,6.2.2018,"277.775,80 €",,,,,,,,,,,,,,,,
ER,K,"Mesnerhaus, Offsite bei Gesa","524,00 €",2018-02,8.2.2018,bei Jochen,8.2.2018,"277.251,80 €",,,,,,,,,,,,,,,,
ER,K,"Anwalt, KG-Vertrag","1.166,20 €",2018-02,8.2.2018,bei Jochen,8.2.2018,"276.085,60 €",,,,,,,,,,,,,,,,
ER,K,Miete mindspace,"3.498,60 €",2018-02,8.2.2018,bei Jochen,8.2.2018,"272.587,00 €",,,,,,,,,,,,,,,,
ER,K,RK OOP 2018 Ralf,"401,28 €",2018-02,8.2.2018,bei Jochen,9.2.2018,"272.185,72 €",,,,,,,,,,,,,,,,
ER,RW,Drillisch,"16,99 €",2018-02,,bei Jochen,9.2.2018,"272.168,73 €",,,,,,,,,,,,,,,,
ER,RW,Bahncard 25,"62,00 €",2018-02,8.2.2018,bei Jochen,12.2.2018,"272.106,73 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf,"458,15 €",2017-12,12.2.2018,bei Jochen,12.2.2018,"271.648,58 €",,,,,,,,,,,,,,,,
ER,K,Haftungsvergütung Gf GmbH,"1.337,00 €",2017-12,12.2.2018,bei Jochen,12.2.2018,"270.311,58 €",,,,,,,,,,,,,,,,
ER,K,"car2Go (manuell überwiesen, Mahnung)","92,22 €",2018-01,,bei Jochen,13.2.2018,"270.219,36 €",,,,,,,,,,,,,,,,
ER,K,"Norddeutscher Rundfunk
Rundfunk 01.201
8 - 03.2018 Beitragsnr. 644
272921","17,49 €",2018-02,,bei Jochen,15.2.2018,"270.201,87 €",,,,,,,,,,,,,,,,
LNSteuer,K,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 LOHN
ST JAN.18 1.490,09EUR","1.490,09 €",2018-01,,bei Jochen,15.2.2018,"268.711,78 €",,,,,,,,,,,,,,,,
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.S
T DEZ.17 9.136,43EUR","9.136,43 €",2017-12,,bei Jochen,15.2.2018,"259.575,35 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Johannes B., 2018-02-07-10102","12.566,40 €",2018-01,7.2.2018,bei Jochen,15.2.2018,"272.141,75 €",,"9.715,20 €","0,00 €","0,00 €","0,00 €","422,40 €","0,00 €","0,00 €","0,00 €","422,40 €",,,,,"8.448,00 €",
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.ST
VZ2018 13.142,00EUR","13.142,00 €",2018-01,,bei Jochen,15.2.2018,"258.999,75 €",,,,,,,,,,,,,,,,
AR,JM,AOK 2018-02-01-10100,"30.204,30 €",2018-01,1.2.2018,bei Jochen,16.2.2018,"289.204,05 €",,"7.081,76 €","13.125,00 €","0,00 €","0,00 €","4.031,25 €","0,00 €","0,00 €","0,00 €","1.143,75 €","18.750,00 €",,,"4.125,00 €",,
ER,K,"SEPA-Basislastschrift
Eurowings GmbH","219,96 €",2018-02,12.1.2018,bei Jochen,19.2.2018,"288.984,09 €",,,,,,,,,,,,,,,,
ER,BW,Telekom,"21,31 €",2018-02,12.1.2018,bei Jochen,19.2.2018,"288.962,78 €",,,,,,,,,,,,,,,,
ER,K,"BB, Johannes B.","10.053,12 €",2018-01,7.2.2018,bei Jochen,20.2.2018,"278.909,66 €",,,,,,,,,,,,,,,,
ER,K,"BB, Elena","20.563,20 €",2018-01,7.2.2018,bei Jochen,20.2.2018,"258.346,46 €",,,,,,,,,,,,,,,,
ER,BW,Telekom,"106,48 €",2018-01,16.2.2018,bei Jochen,20.2.2018,"258.239,98 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"159,02 €",2018-02,12.1.2018,bei Jochen,20.2.2018,"258.080,96 €",,,,,,,,,,,,,,,,
UstVZ,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 046/638/02084 GEW.
ST 1VJ.18 14.953,00EUR","14.953,00 €",2018-02,,bei Jochen,20.2.2018,"243.127,96 €",,,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung","50,00 €",2018-02,,bei Jochen,21.02.2018,"243.077,96 €",,,,,,,,,,,,,,,,
ER,K,SEPA-Basislastschrift GLS Gemeinschaftsbank eG MASTERCARD Abrechnung DR. J OHANNES MAINUSCH,"330,38 €",2018-02,,bei Jochen,21.02.2018,"242.747,58 €",,,,,,,,,,,,,,,,
AR,K,"JAX 2017, RN_20170601-03","2.380,00 €",2017-05,01.06.2017,bei Jochen,21.02.2018,"245.127,58 €",,"600,00 €","0,00 €","0,00 €","700,00 €","700,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,"1.000,00 €","1.000,00 €",,
ER,K,"SEPA-Basislastschrift
Hetzner Online GmbH
Rechnungsnr.: R0007818486 -
Kundennr.: K0720512117","8,21 €",2018-02,,bei Jochen,22.02.2018,"245.119,37 €",,,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7224553047 vom 15.02.18","113,54 €",2018-02,,bei Jochen,22.02.2018,"245.005,83 €",,,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
vcomtec UG (haftungsbeschraenkt)
RgNr 3430 vom 13.02.2018 Vi
elen Dank, Wolkesicher","4,99 €",,,bei Jochen,22.02.2018,"245.000,84 €",,,,,,,,,,,,,,,,
ER,K,RK Frankfurt Entwicklertag,"293,20 €",2018-02,23.2.2018,bei Jochen,23.2.2018,"244.707,64 €",,,,,,,,,,,,,,,,
ER,RW,Belegabrechnung RW 02-2018,"318,79 €",2018-02,23.2.2018,bei Jochen,23.2.2018,"244.388,85 €",,,,,,,,,,,,,,,,
Gehalt,BW,Gehalt Ben 2018-02,"3.893,86 €",2018-02,18.2.2018,bei Jochen,26.2.2018,"240.494,99 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"
SEPA-Basislastschrift
KKH HAUPTVERW., HANNOVER
BEITRAG 02/18 FUER 93525026
KOMMISTMENT GMBH + CO. KG
SOZIALVERSICHERUNGSBEITRAG
KKH 1.389,09 EU
R Mandat 0508200382-0202-2
","1.389,09 €",2018-02,,bei Jochen,26.2.2018,"239.105,90 €",,,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50423981129","18,33 €",2018-02,,bei Jochen,26.2.2018,"239.087,57 €",,,,,,,,,,,,,,,,
ER,K,20180228-Belege-JM-kommitment,"325,60 €",2018-02,28.2.2018,bei Jochen,28.2.2018,"238.761,97 €",,,,,,,,,,,,,,,,
ER,K,"20180223-RK-JM-BOB-Konferenz
","374,30 €",2018-02,28.2.2018,bei Jochen,28.2.2018,"238.387,67 €",,,,,,,,,,,,,,,,
AR,K,"Erstattung Doppelzahlung JOH.BERENBERG,GOSSLER+CO.KG
RG.NR. 2017-12-01-10060 KD
10006","-13.328,00 €",2017-12,28.2.2018,bei Jochen,28.2.2018,"225.059,67 €",,,,,,,,,,,,,,,,
ER,K,Belegabrechnung 2018-02 AN,"408,39 €",2018-02,28.2.2018,bei Jochen,28.2.2018,"224.651,28 €",,,,,,,,,,,,,,,,
ER,K,Belegabrechnung 2018-02 OOP AN,"539,27 €",2018-02,28.2.2018,bei Jochen,28.2.2018,"224.112,01 €",,,,,,,,,,,,,,,,
ER,K,"Kontoführung
Abrechnung vom 28.02.2018","20,25 €",2018-02,,bei Jochen,28.2.2018,"224.091,76 €",,,,,,,,,,,,,,,,
AR,JM,"Elena, BB 2018-02-07-10101","25.704,00 €",2018-01,7.2.2018,bei Jochen,28.2.2018,"249.795,76 €",,"19.543,68 €","0,00 €","0,00 €","0,00 €","1.028,16 €","0,00 €","0,00 €","0,00 €","1.028,16 €",,,,,"20.563,20 €",
AR,JM,Breuninger 2017-12-22-10089,"12.521,24 €",2017-11,4.12.2017,bei Jochen,2.3.2018,"262.317,00 €",,"4.712,91 €","0,00 €","1.435,00 €","0,00 €","3.832,07 €","0,00 €","0,00 €","0,00 €","542,07 €",,"2.050,00 €",,"4.700,00 €","4.091,38 €",
AR,JM,Jungheinrich Ben/Johannes 2018-02-01-10099,"2.744,44 €",2018-01,1.2.2018,bei Jochen,5.3.2018,"265.061,44 €",,"461,25 €","590,63 €","0,00 €","0,00 €","1.139,06 €","0,00 €","0,00 €","0,00 €","115,31 €","843,75 €",,,"1.462,50 €",,
AR,JM,"LossTech, RN_20170405","952,00 €",2017-03,04.04.2017,bei Jochen,5.3.2018,"266.013,44 €",,"160,00 €","0,00 €","0,00 €","0,00 €","600,00 €","0,00 €","0,00 €","0,00 €","40,00 €",,,,"800,00 €",,
AR,JM,Jungheinrich Ralf 2018-02-01-10097,"20.257,30 €",2018-01,1.2.2018,bei Jochen,5.3.2018,"286.270,74 €",,"3.404,59 €","0,00 €","0,00 €","11.916,06 €","851,15 €","0,00 €","0,00 €","0,00 €","851,15 €",,,"17.022,94 €",,,
ER,K,"hauptsache.net, Miete Büro","824,78 €",2018-03,1.3.2018,bei Jochen,5.3.2018,"285.445,96 €",,,,,,,,,,,,,,,,
GV,JM,Entnahme 2018-03,"6.000,00 €",2018-03,,bei Jochen,5.3.2018,"279.445,96 €",,,,,,,,,,,,,,,,
GV,AN,Entnahme 2018-03,"6.000,00 €",2018-03,,bei Jochen,5.3.2018,"273.445,96 €",,,,,,,,,,,,,,,,
GV,RW,Entnahme 2018-03,"8.000,00 €",2018-03,,bei Jochen,5.3.2018,"265.445,96 €",,,,,,,,,,,,,,,,
GV,RW,Ek.St. Vorauszahlung 2018-03,"9.958,00 €",2018-03,,bei Jochen,5.3.2018,"255.487,96 €",,,,,,,,,,,,,,,,
GV,JM,Ek.St. Vorauszahlung 2018-03,"17.283,00 €",2018-03,,bei Jochen,5.3.2018,"238.204,96 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2018-03,4.3.2018,bei Jochen,6.3.2018,"238.184,96 €",,,,,,,,,,,,,,,,
AR,JM,WWK/intersoft Rechnung 2018-02-01-10096,"5.392,19 €",2018-01,1.2.2018,bei Jochen,7.3.2018,"243.577,15 €",,"906,25 €","0,00 €","0,00 €","0,00 €","3.398,44 €","0,00 €","0,00 €","0,00 €","226,56 €",,,,"4.531,25 €",,
ER,K,Erstattung Reisekosten Ben Wiedenmann AOK 2018-02,"1.309,65 €",2018-02,7.3.2018,bei Jochen,7.3.2018,"242.267,50 €",,,,,,,,,,,,,,,,
AR,JM,Cewe 2018-02-01-10095,"1.740,38 €",2018-01,1.2.2018,bei Jochen,8.3.2018,"244.007,88 €",,"292,50 €","0,00 €","393,75 €","0,00 €","703,13 €","0,00 €","0,00 €","0,00 €","73,13 €",,"562,50 €",,"900,00 €",,
ER,K,Miete mindspace,"3.498,60 €",2018-03,5.3.2018,bei Jochen,8.3.2018,"240.509,28 €",,,,,,,,,,,,,,,,
ER,K,Reisekosten OOP/Lenggries Ben,"521,55 €",2018-02,9.3.2018,bei Jochen,9.3.2018,"239.987,73 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf,"368,90 €",2018-03,12.3.2018,bei Jochen,12.3.2018,"239.618,83 €",,,,,,,,,,,,,,,,
AR,JM,Jungheinrich Christine 2018-02-01-10098,"19.992,00 €",2018-01,1.2.2018,bei Jochen,14.3.2018,"259.610,83 €",,"15.120,00 €","0,00 €","0,00 €","0,00 €","840,00 €","0,00 €","0,00 €","0,00 €","840,00 €",,,,,16800,
AR,RW,Artikel RESTful APIs Go,"171,19 €",2018-03,,bei Jochen,14.3.2018,"259.782,02 €",,"6,91 €","0,00 €","0,00 €","128,39 €","0,00 €","0,00 €","0,00 €","8,56 €","0,00 €",,,"171,19 €",,,
ER,K,"car2go, mal wieder Mahnung wegen foo","5,58 €",2018-02,,bei Jochen,14.3.2018,"259.776,44 €",,,,,,,,,,,,,,,,
AR,JM,Hanseatic Bank 2018-02-01-10094,"8.987,48 €",2018-01,1.2.2018,bei Jochen,15.3.2018,"268.763,92 €",,"3.862,50 €","0,00 €","2.441,25 €","0,00 €","1.018,13 €","0,00 €","0,00 €","0,00 €","230,63 €",,"3.487,50 €",,"1.125,00 €",,
AR,JM,"BB, Johannes B. 2018-03-07-10106","10.079,30 €",2018-02,7.3.2018,bei Jochen,15.3.2018,"278.843,22 €",,"7.792,40 €","0,00 €","0,00 €","0,00 €","338,80 €","0,00 €","0,00 €","0,00 €","338,80 €",,,,,"6.776,00 €",
ER,RW,Drillisch,"16,99 €",2018-03,,bei Jochen,15.3.2018,"278.826,23 €",,,,,,,,,,,,,,,,
LNSteuer,BW,STEUERNR 046/638/02084 LOHN ST FEB.18,"1.490,09 €",2018-02,,bei Jochen,15.3.2018,"277.336,14 €",,,,,,,,,,,,,,,,
UstVZ,K,UMS.S T JAN.18,"18.870,33 €",2018-01,,bei Jochen,15.3.2018,"258.465,81 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf,"89,91 €",2018-03,17.3.2018,bei Jochen,19.3.2018,"258.375,90 €",,,,,,,,,,,,,,,,
AR,AN,Pfannenberg 2018-03-02-10104,"5.712,00 €",2018-02,2.3.2018,bei Jochen,19.3.2018,"264.087,90 €",,"960,00 €","0,00 €","3.600,00 €","0,00 €","0,00 €","0,00 €","240,00 €","0,00 €","0,00 €",,"4.800,00 €",,,,
ER,K,"Elena, BB","16.707,60 €",2018-02,7.3.2018,bei Jochen,19.3.2018,"247.380,30 €",,,,,,,,,,,,,,,,
ER,K,"Johannes B., BB","8.063,44 €",2018-02,7.3.2018,bei Jochen,19.3.2018,"239.316,86 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"59,89 €",2018-02,7.3.2018,bei Jochen,19.3.2018,"239.256,97 €",,,,,,,,,,,,,,,,
ER,BW,Telekom,"164,83 €",2018-02,7.3.2018,bei Jochen,19.3.2018,"239.092,14 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Elena, 2018-03-07-10105","20.884,50 €",2018-02,7.3.2018,bei Jochen,21.3.2018,"259.976,64 €",,"16.146,00 €","0,00 €","0,00 €","0,00 €","702,00 €","0,00 €","0,00 €","0,00 €","702,00 €",,,,,"14.040,00 €",
ER,K,Mastercard 2018-02,"443,88 €",2018-02,14.3.2018,bei Jochen,21.3.2018,"259.532,76 €",,,,,,,,,,,,,,,,
ER,RW,Vertriebsunion Meynen (S&S Media),"18,60 €",2018-03,,bei Jochen,21.3.2018,"259.514,16 €",,,,,,,,,,,,,,,,
AR,JM,Reisekosten BOB Konf 2018-02-28-10103,"381,15 €",2018-02,28.2.2018,bei Jochen,21.3.2018,"259.895,31 €",,,,,,,,,,,,,,,,
ER,RW,Hetzner,"8,21 €",2018-03,,bei Jochen,22.3.2018,"259.887,10 €",,,,,,,,,,,,,,,,
AR,JM,"AOK Experiment, 2018-03-07-10109","31.337,13 €",2018-02,7.3.2018,bei Jochen,22.3.2018,"291.224,23 €",,"6.227,47 €","17.242,97 €","0,00 €","0,00 €","1.606,64 €","0,00 €","0,00 €","0,00 €","1.256,64 €","24.632,82 €",,,"500,00 €",,
ER,JM,congstar,"86,12 €",2018-03,,bei Jochen,22.3.2018,"291.138,11 €",,,,,,,,,,,,,,,,
AR,K,"AOK Kommunikation, 2018-03-07-10108
Dealbringer: Anke, Ben, Johannes zu gleichen Teilen.
=265/3  88,33 =für jeden
per Hand eingetragen","7.450,05 €",2018-02,7.3.2018,bei Jochen,26.3.2018,"298.588,16 €",,"2.020,57 €","1.068,33 €","1.488,33 €","0,00 €","1.418,33 €","88,33 €","88,33 €","0,00 €","88,33 €","1.400,00 €","2.000,00 €",,"1.900,00 €",,
Gehalt,BW,Gehalt Ben 2018-03,"3.893,86 €",2018-03,17.3.2018,bei Jochen,27.3.2018,"294.694,30 €",,,,,,,,,,,,,,,,
ER,JM,Boxbike - Dienstfahrrad Mainusch,"3.988,60 €",2018-03,27.3.2018,bei Jochen,27.3.2018,"290.705,70 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"KKH, Ben","1.389,09 €",2018-03,,bei Jochen,27.3.2018,"289.316,61 €",,,,,,,,,,,,,,,,
